"TYPE","YEAR","MONTH","DAY","HOUR","MINUTE","HUNDRED_BLOCK","NEIGHBOURHOOD","X","Y"
"Theft of Bicycle",2012,4,30,22,0,"13XX E 31ST AVE","Kensington-Cedar Cottage",494383.5488,5454413.2742
"Offence Against a Person",2012,5,13,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Theft of Bicycle",2012,5,21,18,0,"8XX W 15TH AVE","Fairview",491011.9549,5456122.1657
"Break and Enter Residential/Other",2012,6,15,14,30,"12XX E 63RD AVE","Sunset",494160.831,5451118.9965
"Offence Against a Person",2012,6,16,0,0,"OFFSET TO PROTECT PRIVACY","Grandview-Woodland",0,0
"Theft of Bicycle",2012,7,20,8,0,"9XX HOMER ST","Central Business District",491304.9684,5458328.8484
"Break and Enter Residential/Other",2012,9,29,19,34,"32XX W 48TH AVE","Kerrisdale",487171.5517,5452877.1917
"Mischief",2012,10,6,1,54,"1XX WATER ST","Central Business District",492243.075,5459021.0156
"Homicide",2012,10,31,0,0,"OFFSET TO PROTECT PRIVACY","Hastings-Sunrise",0,0
"Mischief",2012,11,3,2,44,"49XX DUCHESS ST","Renfrew-Collingwood",496220.8281,5454125.9635
"Break and Enter Residential/Other",2012,12,5,10,45,"31XX E 50TH AVE","Killarney",497159.4914,5452334.2309
"Theft from Vehicle",2012,12,30,0,0,"84XX KERR ST","Killarney",496926.6906,5450551.1908
"Break and Enter Commercial",2013,3,15,12,51,"86XX MAIN ST","Sunset",492543.7293,5450458.989
"Other Theft",2013,4,8,11,55,"4XX MAIN ST","Central Business District",492744.3493,5458647.2322
"Other Theft",2013,4,9,14,40,"4XX E 24TH AVE","Riley Park",493001.7334,5455178.6463
"Break and Enter Residential/Other",2013,5,25,2,0,"23XX WALL ST","Grandview-Woodland",495820.1925,5459725.2391
"Vehicle Collision or Pedestrian Struck (with Fatality)",2013,5,28,22,32,"E 1ST AVE / NOOTKA ST","Hastings-Sunrise",496983,5457402
"Other Theft",2013,6,2,16,2,"17XX ADANAC ST","Grandview-Woodland",494979.8655,5458318.1661
"Vehicle Collision or Pedestrian Struck (with Injury)",2013,6,6,17,44,"E 49TH AVE / VICTORIA DR","Victoria-Fraserview",495211,5452489
"Theft from Vehicle",2013,6,27,20,12,"27XX W BROADWAY AVE","Kitsilano",487845.5455,5456828.7896
"Break and Enter Residential/Other",2013,8,25,3,30,"20XX W 2ND AVE","Kitsilano",488975.204,5457464.5816
"Theft of Bicycle",2013,10,14,18,45,"GRANVILLE ST / W GEORGIA ST","Central Business District",491408.2275,5458864.9388
"Vehicle Collision or Pedestrian Struck (with Injury)",2013,11,18,22,51,"W 4TH AVE / BALSAM ST","Kitsilano",488371,5457288
"Other Theft",2013,11,23,22,43,"23XX KINGSWAY AVE","Renfrew-Collingwood",495812.3675,5454309.9125
"Break and Enter Residential/Other",2014,1,7,7,0,"14XX W 11TH AVE","Fairview",489997.0435,5456560.4157
"Vehicle Collision or Pedestrian Struck (with Injury)",2014,1,16,8,50,"NOOTKA ST / E 27TH AVE","Renfrew-Collingwood",496970,5454829
"Break and Enter Commercial",2014,3,3,5,5,"9XX DAVIE ST","Central Business District",490670.4538,5458416.7328
"Theft from Vehicle",2014,3,4,23,30,"12XX NELSON ST","West End",490461.3512,5459087.382
"Break and Enter Commercial",2014,3,14,5,3,"6XX E BROADWAY AVE","Mount Pleasant",493387.9879,5456644.704
"Theft from Vehicle",2014,3,30,0,0,"86XX SELKIRK ST","Marpole",490295.32,5450600.9008
"Other Theft",2014,4,7,14,0,"E 18TH AVE / SLOCAN ST","Renfrew-Collingwood",496394.6989,5455696.8183
"Vehicle Collision or Pedestrian Struck (with Fatality)",2014,4,8,12,47,"E BROADWAY AVE / ST CATHERINES ST","Mount Pleasant",493796,5456635
"Homicide",2014,4,15,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Break and Enter Residential/Other",2014,4,28,21,0,"5XX E 11TH AVE","Mount Pleasant",493259.0167,5456440.412
"Homicide",2014,5,10,0,0,"OFFSET TO PROTECT PRIVACY","Renfrew-Collingwood",0,0
"Theft of Bicycle",2014,5,15,16,0,"5XX W HASTINGS ST","Central Business District",491827.083,5459079.5453
"Offence Against a Person",2014,5,25,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Theft of Bicycle",2014,6,1,12,0,"12XX JERVIS ST","West End",490179.7496,5458889.7497
"Theft from Vehicle",2014,6,2,12,25,"56XX STANLEY PARK DR","Stanley Park",489611.3114,5462184.1929
"Other Theft",2014,6,22,11,45,"8XX HOMER ST","Central Business District",491496.4147,5458521.8616
"Theft from Vehicle",2014,7,4,8,45,"5XX PACIFIC ST","Central Business District",490685.8787,5457925.5769
"Vehicle Collision or Pedestrian Struck (with Injury)",2014,7,10,16,16,"ROBSON ST / JERVIS ST","West End",490652,5459369
"Vehicle Collision or Pedestrian Struck (with Injury)",2014,7,22,18,25,"RUPERT ST / E 41ST AVE","Killarney",496862,5453357
"Mischief",2014,8,22,11,17,"11XX DAVIE ST","West End",490417.9352,5458679.8021
"Break and Enter Commercial",2014,8,25,15,0,"11XX W HASTINGS ST","Central Business District",491263.5862,5459491.1278
"Theft of Bicycle",2014,9,13,7,0,"15XX COMOX ST","West End",490102.6868,5459288.4938
"Break and Enter Commercial",2014,10,12,2,0,"9X E 11TH AVE","Mount Pleasant",492485.003,5456487.2226
"Vehicle Collision or Pedestrian Struck (with Injury)",2014,10,12,12,37,"PRIOR ST / MAIN ST","Central Business District",492731,5458227
"Theft of Bicycle",2014,11,6,8,0,"5XX W 20TH AVE","South Cambie",491546.0822,5455616.3048
"Mischief",2014,11,10,9,10,"6XX VERNON DR","Strathcona",494243.1223,5458527.2057
"Vehicle Collision or Pedestrian Struck (with Injury)",2014,12,1,17,30,"KINGSWAY AVE / E KING EDWARD AVE","Kensington-Cedar Cottage",494737,5455082
"Theft from Vehicle",2014,12,9,13,30,"X INDUSTRIAL AVE","Strathcona",492703.9591,5457531.8564
"Vehicle Collision or Pedestrian Struck (with Fatality)",2014,12,16,14,27,"45XX BLOCK W 10TH AVE","West Point Grey",484749,5456808
"Theft from Vehicle",2014,12,18,21,0,"1XX W GEORGIA ST","Central Business District",491773.9448,5458495.4985
"Vehicle Collision or Pedestrian Struck (with Fatality)",2014,12,30,15,3,"OAK ST / W 15TH AVE","Fairview",490756,5456124
"Vehicle Collision or Pedestrian Struck (with Fatality)",2015,1,3,17,23,"63XX BLOCK ELLIOTT ST","Victoria-Fraserview",496020,5452651
"Offence Against a Person",2015,1,24,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2015,2,1,12,2,"COMMERCIAL DR / GRANDVIEW HWY N","Grandview-Woodland",494923,5456775
"Break and Enter Commercial",2015,2,21,16,30,"11XX W GEORGIA ST","Central Business District",490967.3844,5459309.7253
"Break and Enter Commercial",2015,2,24,18,45,"31XX E 51ST AVE","Killarney",497028.2616,5452244.6095
"Other Theft",2015,3,4,12,0,"3XX ABBOTT ST","Central Business District",492213.8723,5458862.6471
"Break and Enter Commercial",2015,4,9,23,0,"23XX WALL ST","Grandview-Woodland",495762.4191,5459683.3095
"Break and Enter Commercial",2015,4,20,1,42,"5XX HORNBY ST","Central Business District",491479.4125,5459217.3937
"Theft of Vehicle",2015,5,12,22,0,"54XX MCKINNON ST","Renfrew-Collingwood",497249.4784,5453579.0907
"Break and Enter Commercial",2015,5,30,3,50,"15XX W 6TH AVE","Fairview",489824.1213,5457063.2755
"Other Theft",2015,6,14,12,0,"14XX BURNABY ST","West End",489973.7858,5458950.8319
"Theft of Bicycle",2015,6,28,10,35,"4X W 6TH AVE","Mount Pleasant",492306.322,5456990.1315
"Mischief",2015,7,17,15,0,"1XX E HASTINGS ST","Central Business District",492636.1816,5458736.5923
"Theft of Bicycle",2015,8,3,4,44,"5XX E HASTINGS ST","Strathcona",493212.0459,5458719.7881
"Homicide",2015,8,8,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Homicide",2015,8,18,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Break and Enter Residential/Other",2015,8,19,5,22,"78XX VICTORIA DR","Victoria-Fraserview",495193.8607,5451127.1835
"Theft from Vehicle",2015,8,19,12,0,"1XX E HASTINGS ST","Central Business District",492571.6489,5458738.7436
"Offence Against a Person",2015,8,31,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Other Theft",2015,9,1,13,20,"28XX GRANVILLE ST","Fairview",489910.8026,5456363.5816
"Vehicle Collision or Pedestrian Struck (with Injury)",2015,9,7,15,3,"GORE AVE / PRIOR ST","Strathcona",492952,5458230
"Vehicle Collision or Pedestrian Struck (with Fatality)",2015,9,13,17,34,"23XX BLOCK SE MARINE DR","Victoria-Fraserview",495697,5450505
"Homicide",2015,9,27,0,0,"OFFSET TO PROTECT PRIVACY","Shaughnessy",0,0
"Theft from Vehicle",2015,10,15,20,0,"48XX HUDSON ST","Shaughnessy",490188.3097,5454457.9001
"Vehicle Collision or Pedestrian Struck (with Fatality)",2015,10,28,7,0,"1XX BLOCK E HASTINGS ST","Central Business District",492598,5458742
"Offence Against a Person",2015,11,1,0,0,"OFFSET TO PROTECT PRIVACY","Fairview",0,0
"Mischief",2015,11,17,9,0,"8XX SEYMOUR ST","Central Business District",491305.5679,5458621.4473
"Break and Enter Commercial",2015,11,23,23,40,"16XX W 7TH AVE","Fairview",489732.9772,5456972.0677
"Break and Enter Commercial",2015,11,26,17,0,"45XX W 5TH AVE","West Point Grey",484635.1949,5457295.0264
"Break and Enter Commercial",2015,12,1,4,0,"45XX OAK ST","South Cambie",490713.8361,5454739.5944
"Break and Enter Residential/Other",2015,12,22,18,23,"3XX W 44TH AVE","Oakridge",491736.3187,5453097.7243
"Break and Enter Commercial",2016,1,11,13,8,"5X WATER ST","Central Business District",492335.0311,5459005.7049
"Theft of Bicycle",2016,2,2,17,0,"21XX W 2ND AVE","Kitsilano",488844.8866,5457477.1179
"Vehicle Collision or Pedestrian Struck (with Fatality)",2016,2,8,9,14,"E 49TH AVE / FRASER ST","Sunset",493395,5452521
"Break and Enter Residential/Other",2016,2,23,0,1,"2XX E 38 AV","Riley Park",492693.0814,5453735.4625
"Theft of Vehicle",2016,3,3,22,0,"3XX LAKEWOOD DR","Grandview-Woodland",495518.4623,5458813.5524
"Offence Against a Person",2016,3,6,0,0,"OFFSET TO PROTECT PRIVACY","Renfrew-Collingwood",0,0
"Homicide",2016,3,10,0,0,"OFFSET TO PROTECT PRIVACY","",0,0
"Theft of Vehicle",2016,3,10,8,30,"5XX BEATTY ST","Central Business District",492024.0432,5458628.8109
"Vehicle Collision or Pedestrian Struck (with Fatality)",2016,3,31,9,22,"RUPERT ST / E BROADWAY AVE","Renfrew-Collingwood",497539,5456571
"Break and Enter Commercial",2016,4,28,22,8,"12XX MELVILLE ST","Central Business District",490961.7553,5459476.6715
"Theft of Bicycle",2016,4,28,13,28,"13XX SEYMOUR ST","Central Business District",490699.6717,5457993.6499
"Theft of Bicycle",2016,4,28,20,30,"16XX BEACH AVE","West End",489679.4415,5458940.0624
"Vehicle Collision or Pedestrian Struck (with Injury)",2016,5,5,9,14,"THORNTON ST / TERMINAL AVE","Strathcona",493207,5457654
"Theft of Bicycle",2016,5,8,13,23,"ABBOTT ST / WATER ST","Central Business District",492260.9736,5459020.968
"Theft of Bicycle",2016,5,26,10,55,"11XX HAMILTON ST","Central Business District",491165.4836,5458114.9404
"Other Theft",2016,5,28,13,21,"15XX COMMERCIAL DR","Grandview-Woodland",494939.2671,5457603.2309
"Homicide",2016,6,6,0,0,"OFFSET TO PROTECT PRIVACY","Marpole",0,0
"Mischief",2016,6,8,2,22,"4X DUNLEVY AVE","Strathcona",493068.4489,5459130.8235
"Theft of Bicycle",2016,6,10,8,30,"26XX E BROADWAY AVE","Renfrew-Collingwood",496210.8434,5456579.1999
"Theft from Vehicle",2016,7,7,13,0,"10XX SEYMOUR ST","Central Business District",491123.0816,5458425.3472
"Offence Against a Person",2016,7,13,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Offence Against a Person",2016,8,5,0,0,"OFFSET TO PROTECT PRIVACY","Riley Park",0,0
"Other Theft",2016,8,7,11,55,"5XX GRANVILLE ST","Central Business District",491556.8225,5459008.1222
"Vehicle Collision or Pedestrian Struck (with Injury)",2016,8,25,21,47,"ROBSON ST / BUTE ST","West End",490767,5459254
"Vehicle Collision or Pedestrian Struck (with Fatality)",2016,8,29,17,26,"12XX BLOCK SEYMOUR ST","Central Business District",490875,5458182
"Theft of Vehicle",2016,8,31,16,0,"18XX W 15TH AVE","Kitsilano",489369.7204,5456153.6648
"Vehicle Collision or Pedestrian Struck (with Fatality)",2016,9,3,22,37,"E BROADWAY AVE / ST CATHERINES ST","Mount Pleasant",493796,5456635
"Homicide",2016,9,28,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Break and Enter Commercial",2016,10,24,20,30,"17XX W 5TH AVE","Fairview",489527.0248,5457166.4462
"Mischief",2016,11,18,22,0,"717W W 8TH AVE","Fairview",491255.8333,5456839.955
"Vehicle Collision or Pedestrian Struck (with Injury)",2016,12,1,18,31,"SALSBURY DR / WILLIAM ST","Grandview-Woodland",495082,5457910
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,1,10,6,45,"4XX BLOCK SW MARINE DR","Marpole",491595,5450891
"Break and Enter Residential/Other",2017,1,31,15,53,"32XX CHARLES ST","Hastings-Sunrise",497386.4322,5457827.7468
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,2,11,2,38,"6XX BLOCK COMMERCIAL DR","Grandview-Woodland",494876,5458492
"Homicide",2017,3,9,0,0,"OFFSET TO PROTECT PRIVACY","Kensington-Cedar Cottage",0,0
"Mischief",2017,3,14,19,9,"LAUREL ST / W BROADWAY AVE","Fairview",490965.4176,5456741.2859
"Homicide",2017,4,2,0,0,"OFFSET TO PROTECT PRIVACY","Grandview-Woodland",0,0
"Homicide",2017,4,15,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Theft of Vehicle",2017,4,20,22,0,"36XX SE MARINE DR","Killarney",498129.6248,5450574.6636
"Theft of Bicycle",2017,5,8,17,0,"10XX MAIN ST","Strathcona",492744.1467,5458124.6243
"Theft from Vehicle",2017,5,14,20,0,"1XX W 17TH AVE","Riley Park",492088.4902,5455885.4832
"Theft of Vehicle",2017,5,18,22,48,"E 49TH AVE / VICTORIA DR","Victoria-Fraserview",495211.6049,5452489.3887
"Theft from Vehicle",2017,5,20,21,48,"1XX W PENDER ST","Central Business District",492074.1894,5458729.9836
"Theft of Bicycle",2017,5,27,19,0,"6XX STAMPS LAND","Fairview",491399.9928,5457344.4715
"Other Theft",2017,6,3,0,0,"X NK_LOC ST","Strathcona",492765.9374,5458793.3032
"Theft from Vehicle",2017,6,25,12,0,"4XX HOMER ST","Central Business District",491910.0832,5458939.7438
"Offence Against a Person",2017,6,27,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,6,30,3,42,"HEATLEY AVE / PRIOR ST","Strathcona",493472,5458207
"Theft from Vehicle",2017,7,8,11,0,"16XX NELSON ST","West End",490142.0665,5459403.1109
"Break and Enter Residential/Other",2017,7,24,16,0,"19XX KITCHENER ST","Grandview-Woodland",495297.498,5457710.4151
"Theft from Vehicle",2017,7,28,23,0,"34XX MONS DR","Renfrew-Collingwood",497735.5843,5455517.8603
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,8,9,12,35,"14XX BLOCK W 71ST AVE","Marpole",489940,5450480
"Mischief",2017,9,6,21,30,"2XX E 14TH AVE","Mount Pleasant",492713.4506,5456189.1832
"Mischief",2017,9,21,0,0,"40XX W 12TH AVE","West Point Grey",485875.1224,5456571.9355
"Theft of Vehicle",2017,10,1,16,50,"15XX VINE ST","Kitsilano",488557.7014,5457772.9759
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,10,19,12,15,"31XX BLOCK E 49TH AVE","Killarney",497041,5452437
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,10,20,4,51,"23XX IRONWORKERS MEMORIAL BRDG","Hastings-Sunrise",498102.2667,5460027.7278
"Other Theft",2017,10,26,0,0,"X NK_LOC ST","Strathcona",492765.9374,5458793.3032
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,10,28,8,57,"4XX MAIN ST","Strathcona",492749,5458648
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,11,14,17,54,"SE MARINE DR / ARGYLE ST","Victoria-Fraserview",494750,5450924
"Theft from Vehicle",2017,11,15,23,0,"14XX HARWOOD ST","West End",489904.3811,5458879.0137
"Break and Enter Residential/Other",2017,11,16,4,52,"4XX ALEXANDER ST","Strathcona",493090.5653,5459028.6988
"Break and Enter Commercial",2017,11,24,18,0,"5X E 10TH AVE","Mount Pleasant",492442.7088,5456597.3659
"Vehicle Collision or Pedestrian Struck (with Injury)",2017,11,25,18,0,"3XX N RENFREW ST","Hastings-Sunrise",496798,5459454
"Other Theft",2017,12,2,18,0,"8XX DAVIE ST","Central Business District",490714.4899,5458386.2592
"Break and Enter Commercial",2017,12,29,16,30,"10XX HOMER ST","Central Business District",491167.5589,5458189.1787
"Homicide",2018,1,11,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Homicide",2018,1,18,0,0,"OFFSET TO PROTECT PRIVACY","Renfrew-Collingwood",0,0
"Break and Enter Residential/Other",2018,2,8,22,0,"11XX W 59TH AVE","Marpole",490366.3914,5451614.8381
"Vehicle Collision or Pedestrian Struck (with Injury)",2018,2,9,14,13,"E 16TH AVE / ST GEORGE ST","Riley Park",493175,5455971
"Break and Enter Commercial",2018,3,21,20,51,"X W 7TH AVE","Mount Pleasant",492361.4337,5456889.225
"Break and Enter Residential/Other",2018,4,16,12,0,"83XX CAPRI CRES","Killarney",497992.3176,5450615.7962
"Offence Against a Person",2018,4,16,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Theft of Bicycle",2018,5,4,19,0,"5X KEEFER ST","Central Business District",492501.1305,5458496.1502
"Theft of Bicycle",2018,5,24,11,6,"ABBOTT ST / W HASTINGS ST","Central Business District",492203.9207,5458810.8912
"Offence Against a Person",2018,5,25,0,0,"OFFSET TO PROTECT PRIVACY","Kensington-Cedar Cottage",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2018,6,7,11,3,"W GEORGIA ST / RICHARDS ST","Central Business District",491549,5458724
"Mischief",2018,6,18,11,45,"43XX SIDNEY ST","Kensington-Cedar Cottage",495429.6452,5454871.8608
"Theft from Vehicle",2018,6,18,6,30,"31XX E GEORGIA ST","Hastings-Sunrise",497179.8718,5458386.1435
"Vehicle Collision or Pedestrian Struck (with Injury)",2018,7,5,18,10,"W 42ND AVE / OAK ST","Oakridge",490673,5453366
"Vehicle Collision or Pedestrian Struck (with Injury)",2018,7,13,14,50,"CLARK DR / E 2ND AVE","Strathcona",494370,5457335
"Other Theft",2018,7,19,14,25,"5XX W 12TH AVE","Fairview",491525.979,5456417.3884
"Other Theft",2018,8,21,9,5,"44XX GRANVILLE ST","Shaughnessy",489866.7862,5454767.5052
"Break and Enter Commercial",2018,9,29,13,0,"92XX OAK ST","Marpole",490761.2208,5449838.7182
"Break and Enter Commercial",2018,10,3,21,30,"3XX E 11TH AVE","Mount Pleasant",492916.2222,5456487.0574
"Other Theft",2018,10,9,19,27,"7XX GRANVILLE ST","Central Business District",491292.7916,5458742.3123
"Other Theft",2018,10,10,11,0,"4XX TERMINAL AVE","Strathcona",493132.6821,5457691.9731
"Offence Against a Person",2018,11,3,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Mischief",2018,11,15,13,0,"4XX E BROADWAY AVE","Mount Pleasant",493088.8073,5456639.3913
"Theft from Vehicle",2018,11,18,17,20,"ROBSON ST / THURLOW ST","West End",490920.4236,5459101.6058
"Break and Enter Residential/Other",2018,12,23,13,0,"81XX CARTIER ST","Marpole",489976.6814,5451052.787
"Homicide",2019,1,9,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2019,1,11,10,45,"DUMFRIES ST / E 33RD AVE","Kensington-Cedar Cottage",494640,5454159
"Vehicle Collision or Pedestrian Struck (with Fatality)",2019,2,5,10,16,"COMMERCIAL DR / E HASTINGS ST","Grandview-Woodland",494879,5458723
"Offence Against a Person",2019,2,17,0,0,"OFFSET TO PROTECT PRIVACY","Hastings-Sunrise",0,0
"Mischief",2019,3,1,18,0,"2XX E 23RD AVE","Riley Park",492761.9824,5455283.3312
"Theft of Bicycle",2019,4,12,13,30,"E HASTINGS ST / HEATLEY AVE","Strathcona",493488.3945,5458716.0918
"Offence Against a Person",2019,5,3,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Theft from Vehicle",2019,5,23,18,30,"27XX COOPERATIVE WAY","Renfrew-Collingwood",496412.5967,5456077.1174
"Offence Against a Person",2019,5,30,0,0,"OFFSET TO PROTECT PRIVACY","Sunset",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2019,6,7,19,16,"WINDERMERE ST / E HASTINGS ST","Hastings-Sunrise",497368,5458712
"Theft from Vehicle",2019,6,19,20,30,"BUTE ST / JUNG LANE","West End",490106.6387,5458594.3853
"Homicide",2019,6,25,0,0,"OFFSET TO PROTECT PRIVACY","Riley Park",0,0
"Offence Against a Person",2019,7,2,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Theft of Vehicle",2019,7,31,18,30,"66XX GRANVILLE ST","Kerrisdale",489810.3716,5452505.909
"Theft of Bicycle",2019,8,19,21,25,"MACDONALD ST / W 41ST AVE","Arbutus Ridge",487813.9924,5453563.5837
"Break and Enter Residential/Other",2019,8,23,16,0,"16XX W 28TH AVE","Shaughnessy",489641.8016,5454878.258
"Other Theft",2019,8,24,14,52,"8XX W PENDER ST","Central Business District",491499.2161,5459242.6241
"Theft from Vehicle",2019,8,30,21,0,"4XX PRIOR ST","Strathcona",493125.2496,5458222.9432
"Vehicle Collision or Pedestrian Struck (with Injury)",2019,9,20,10,55,"MAIN ST / E 37TH AVE","Riley Park",492601,5453836
"Break and Enter Commercial",2019,10,9,16,30,"1XX W 2ND AVE","Mount Pleasant",492197.8464,5457401.8531
"Theft from Vehicle",2019,10,14,21,0,"10XX ALBERNI ST","West End",491030.3956,5459151.6264
"Other Theft",2019,10,30,16,36,"26XX RENFREW ST","Renfrew-Collingwood",496769.0086,5456394.7202
"Theft of Vehicle",2019,11,7,7,0,"3XX E 6TH AVE","Mount Pleasant",492814.8722,5456966.9197
"Break and Enter Residential/Other",2019,11,29,1,26,"8XX W 23RD AVE","South Cambie",490946.0637,5455335.0494
"Theft of Vehicle",2019,12,14,14,0,"6XX E 63RD AVE","Sunset",493212.4662,5451158.7762
"Break and Enter Commercial",2020,1,10,7,0,"6XX E 7TH AVE","Mount Pleasant",493442.5004,5456841.1333
"Mischief",2020,2,25,10,0,"27XX W 14TH AVE","Kitsilano",487820.7336,5456319.9277
"Mischief",2020,3,16,17,42,"1XX W PENDER ST","Central Business District",492053.6978,5458745.2403
"Other Theft",2020,4,2,0,45,"15XX NELSON ST","West End",490205.5127,5459352.9426
"Offence Against a Person",2020,4,10,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Offence Against a Person",2020,6,15,0,0,"OFFSET TO PROTECT PRIVACY","West End",0,0
"Homicide",2020,7,1,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Vehicle Collision or Pedestrian Struck (with Fatality)",2020,8,20,15,23,"COLUMBIA ST / W KING EDWARD AVE","Riley Park",491993,5455137
"Theft of Bicycle",2020,9,18,4,0,"2XX MAIN ST","Central Business District",492752.7913,5458906.3333
"Mischief",2020,9,29,23,0,"15XX POWELL ST","Grandview-Woodland",494624.5145,5458952.8488
"Theft of Bicycle",2020,10,2,19,0,"8X W 1ST AVE","Mount Pleasant",492272.1433,5457513.4793
"Break and Enter Residential/Other",2020,10,3,12,55,"13XX LABURNUM ST","Kitsilano",488993.441,5457886.585
"Theft of Bicycle",2020,10,7,7,50,"VINE ST / W 4TH AVE","Kitsilano",488541.8576,5457281.4428
"Mischief",2020,11,8,12,51,"74XX HEATHER ST","Marpole",490983.0469,5451638.8553
"Other Theft",2020,11,28,19,47,"35XX E HASTINGS ST","Hastings-Sunrise",497948.8688,5458704.5307
"Mischief",2020,12,21,8,32,"14XX HOWE ST","Central Business District",490436.0475,5458026.7
"Offence Against a Person",2021,1,28,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Homicide",2021,4,4,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Other Theft",2021,4,11,10,30,"37XX W BROADWAY AVE","West Point Grey",486446.5702,5456857.4282
"Homicide",2021,4,17,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Mischief",2021,4,27,19,0,"29XX W 8TH AVE","Kitsilano",487533.3576,5456937.0809
"Vehicle Collision or Pedestrian Struck (with Fatality)",2021,5,7,10,49,"WILLIAM ST / CLARK DR","Strathcona",494377,5457923
"Vehicle Collision or Pedestrian Struck (with Fatality)",2021,6,2,1,30,"51XX BLOCK CAMBIE ST","Riley Park",491530,5454014
"Homicide",2021,6,28,0,0,"OFFSET TO PROTECT PRIVACY","Victoria-Fraserview",0,0
"Vehicle Collision or Pedestrian Struck (with Injury)",2021,6,30,23,0,"VICTORIA DR / E 2ND AVE","Grandview-Woodland",495214,5457325
"Other Theft",2021,7,23,19,53,"21XX W 4TH AVE","Kitsilano",488880.804,5457277.688
"Theft of Bicycle",2021,8,2,23,0,"28XX CAMBIE ST","Mount Pleasant",491642.6989,5456405.1298
"Vehicle Collision or Pedestrian Struck (with Injury)",2021,8,15,22,9,"GRANDVIEW HWY / SKEENA ST","Renfrew-Collingwood",497923,5456152
"Theft of Bicycle",2021,8,25,3,0,"50XX WALES ST","Renfrew-Collingwood",496236.668,5453972.7564
"Other Theft",2021,8,27,0,48,"22XX E 44TH AVE","Victoria-Fraserview",495577.5239,5453064.1604
"Theft of Vehicle",2021,9,7,3,15,"14XX HARWOOD ST","West End",489904.3811,5458879.0137
"Theft of Vehicle",2021,9,7,20,0,"7XX HAWKS AVE","Strathcona",493656.0888,5458397.6214
"Vehicle Collision or Pedestrian Struck (with Fatality)",2021,9,27,8,23,"3XX BLOCK W CORDOVA ST","Central Business District",492052,5458992
"Theft of Vehicle",2021,10,13,5,45,"25XX W 19TH AVE","Arbutus Ridge",488138.3494,5455863.0767
"Vehicle Collision or Pedestrian Struck (with Injury)",2021,10,19,23,1,"COMMERCIAL DR / E HASTINGS ST","Grandview-Woodland",494879,5458723
"Offence Against a Person",2021,11,4,0,0,"OFFSET TO PROTECT PRIVACY","Central Business District",0,0
"Other Theft",2021,11,10,17,0,"COMMERCIAL DR / E BROADWAY AVE","Kensington-Cedar Cottage",494921.9032,5456620.4272
"Homicide",2021,12,22,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Homicide",2023,1,3,0,0,"OFFSET TO PROTECT PRIVACY","Strathcona",0,0
"Theft from Vehicle",2023,1,23,0,0,"27XX E 4TH AVE","Hastings-Sunrise",496562.8528,5457106.1106
"Vehicle Collision or Pedestrian Struck (with Fatality)",2023,1,28,1,5,"6XX E HASTINGS ST","Strathcona",493371,5458719
"Mischief",2023,2,1,9,30,"41XX PERRY ST","Kensington-Cedar Cottage",494816.1708,5455118.2931
"Homicide",2023,3,3,0,0,"OFFSET TO PROTECT PRIVACY","Killarney",0,0
